dBZ / RGBA,Black and White,Original,Universal Blue,Titan,The Weather Channel (TWC),Meteored,NEXRAD Level III,Rainbow @ Selex SI,Dark Sky
-32,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-31,#010101ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-30,#020202ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-29,#030303ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-28,#040404ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-27,#050505ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-26,#060606ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-25,#070707ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-24,#080808ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-23,#090909ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-22,#0a0a0aff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-21,#0b0b0bff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-20,#0c0c0cff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-19,#0d0d0dff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-18,#0e0e0eff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-17,#0f0f0fff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-16,#101010ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-15,#111111ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-14,#121212ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-13,#131313ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-12,#141414ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-11,#151515ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-10,#161616ff,#00000000,#63615911,#353535ff,#00000000,#00000000,#00000000,#00000000,#00000000
-9,#171717ff,#00000000,#6361591b,#353535ff,#00000000,#00000000,#00000000,#00000000,#00000000
